exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.thisTrial,first_loop.thisRepN,first_loop.thisTrialN,first_loop.thisN,first_loop.thisIndex,second_loop.thisRepN,second_loop.thisTrialN,second_loop.thisN,second_loop.thisIndex,second_loop.thisTrial,first_text_str,first_correct_str,first_resp.keys,first_resp.corr,second_stim_str,second_correct_str,second_response.keys,second_response.corr,Participant ID,Starting Block,Session,frameRate,expName,date,Configuration,
0,0,0,0,None,0,0,0,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,1,0,1,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,2,0,2,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,3,0,3,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,4,0,4,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,5,0,5,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,6,0,6,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,7,0,7,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,8,0,8,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,9,0,9,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,10,0,10,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,11,0,11,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,12,0,12,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,13,0,13,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,14,0,14,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,15,0,15,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,16,0,16,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,17,0,17,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,18,0,18,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,19,0,19,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,20,0,20,0,,,,,,020,2,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,21,0,21,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,22,0,22,0,,,,,,100,1,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,23,0,23,0,,,,,,003,3,None,0,,,,,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,0,0,0,0,None,,,,,311,3,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,1,0,1,0,None,,,,,332,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,2,0,2,0,None,,,,,313,1,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,3,0,3,0,None,,,,,332,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,4,0,4,0,None,,,,,112,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,5,0,5,0,None,,,,,332,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,6,0,6,0,None,,,,,112,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
0,0,0,0,None,,,,,7,0,7,0,None,,,,,233,2,None,0,KeyTest,Control,001,59.9839754557,MSIT,2022_Feb_03_0900,Task,
